root_profile_id,botanical_entry_id,root_form,root_depth_class,root_spread_class,root_aggression,root_depth_min_m,root_depth_max_m,root_architecture_type,root_depth_category,excavation_sensitivity,root_competition_intensity,container_root_behavior,waterlogging_tolerance,notes,source_table,source_row
ROOT-BOT-BR-0087,BOT-BR-0087,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,88
ROOT-BOT-BR-0088,BOT-BR-0088,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,310
ROOT-BOT-BR-0089,BOT-BR-0089,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,318
ROOT-BOT-BR-0090,BOT-BR-0090,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,199
ROOT-BOT-BR-0091,BOT-BR-0091,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,199
ROOT-BOT-BR-0092,BOT-BR-0092,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,199
ROOT-BOT-BR-0093,BOT-BR-0093,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,199
ROOT-BOT-BR-0094,BOT-BR-0094,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,199
ROOT-BOT-BR-0095,BOT-BR-0095,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,199
ROOT-BOT-BR-0096,BOT-BR-0096,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,199
ROOT-BOT-BR-0097,BOT-BR-0097,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,199
ROOT-BOT-BR-0098,BOT-BR-0098,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,199
ROOT-BOT-BR-0099,BOT-BR-0099,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,255
ROOT-BOT-BR-0100,BOT-BR-0100,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,297
ROOT-BOT-BR-0101,BOT-BR-0101,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,273
ROOT-BOT-BR-0102,BOT-BR-0102,fibrous with anchoring crown roots,medium,moderate,low,,,fibrous with anchoring crown roots,medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,320
ROOT-BOT-BR-0103,BOT-BR-0103,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,104
ROOT-BOT-BR-0104,BOT-BR-0104,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,329
ROOT-BOT-BR-0105,BOT-BR-0105,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,329
ROOT-BOT-BR-0106,BOT-BR-0106,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,329
ROOT-BOT-BR-0107,BOT-BR-0107,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,120
ROOT-BOT-BR-0108,BOT-BR-0108,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,109
ROOT-BOT-BR-0109,BOT-BR-0109,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,190
ROOT-BOT-BR-0110,BOT-BR-0110,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,111
ROOT-BOT-BR-0111,BOT-BR-0111,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,309
ROOT-BOT-BR-0112,BOT-BR-0112,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,304
ROOT-BOT-BR-0113,BOT-BR-0113,fibrous palm root mass,shallow to medium,moderate,low,,,fibrous palm root mass,shallow to medium,,,,medium,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,302
ROOT-BOT-BR-0114,BOT-BR-0114,fibrous palm root mass,shallow to medium,moderate,low,,,fibrous palm root mass,shallow to medium,,,,medium,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,343
ROOT-BOT-BR-0115,BOT-BR-0115,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,306
ROOT-BOT-BR-0116,BOT-BR-0116,fibrous with anchoring crown roots,medium,moderate,low,,,fibrous with anchoring crown roots,medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,177
ROOT-BOT-BR-0117,BOT-BR-0117,fibrous with anchoring crown roots,medium,moderate,low,,,fibrous with anchoring crown roots,medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,176
ROOT-BOT-BR-0118,BOT-BR-0118,fibrous with anchoring crown roots,medium,moderate,low,,,fibrous with anchoring crown roots,medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,177
ROOT-BOT-BR-0119,BOT-BR-0119,fibrous with anchoring crown roots,medium,moderate,low,,,fibrous with anchoring crown roots,medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,177
ROOT-BOT-BR-0120,BOT-BR-0120,fibrous with anchoring crown roots,medium,moderate,low,,,fibrous with anchoring crown roots,medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,177
ROOT-BOT-BR-0121,BOT-BR-0121,fibrous with anchoring crown roots,medium,moderate,low,,,fibrous with anchoring crown roots,medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,176
ROOT-BOT-BR-0122,BOT-BR-0122,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,123
ROOT-BOT-BR-0123,BOT-BR-0123,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,124
ROOT-BOT-BR-0124,BOT-BR-0124,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,125
ROOT-BOT-BR-0125,BOT-BR-0125,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,43
ROOT-BOT-BR-0126,BOT-BR-0126,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,127
ROOT-BOT-BR-0127,BOT-BR-0127,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,128
ROOT-BOT-BR-0128,BOT-BR-0128,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,129
ROOT-BOT-BR-0129,BOT-BR-0129,fibrous palm root mass,shallow to medium,moderate,low,,,fibrous palm root mass,shallow to medium,,,,medium,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,325
ROOT-BOT-BR-0130,BOT-BR-0130,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,328
ROOT-BOT-BR-0131,BOT-BR-0131,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,132
ROOT-BOT-BR-0132,BOT-BR-0132,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,276
ROOT-BOT-BR-0133,BOT-BR-0133,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,134
ROOT-BOT-BR-0134,BOT-BR-0134,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,135
ROOT-BOT-BR-0135,BOT-BR-0135,fibrous to shallow lateral root system,shallow to medium,moderate,low,,,fibrous to shallow lateral root system,shallow to medium,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,104
ROOT-BOT-BR-0136,BOT-BR-0136,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,137
ROOT-BOT-BR-0137,BOT-BR-0137,fibrous palm root mass,shallow to medium,moderate,low,,,fibrous palm root mass,shallow to medium,,,,medium,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,34
ROOT-BOT-BR-0138,BOT-BR-0138,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,139
ROOT-BOT-BR-0139,BOT-BR-0139,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,140
ROOT-BOT-BR-0140,BOT-BR-0140,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,141
ROOT-BOT-BR-0141,BOT-BR-0141,fibrous palm root mass,shallow to medium,moderate,low,,,fibrous palm root mass,shallow to medium,,,,medium,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,30
ROOT-BOT-BR-0142,BOT-BR-0142,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,341
ROOT-BOT-BR-0143,BOT-BR-0143,,,,,,,,,,,,,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved;identity_workbook_unmatched,Botanicals_Master,144
ROOT-BOT-BR-0144,BOT-BR-0144,taproot with lateral feeder roots,medium to deep,moderate to broad,low to medium,,,taproot with lateral feeder roots,medium to deep,,,,low,root_depth_min_m_unresolved;root_depth_max_m_unresolved;excavation_sensitivity_unresolved;root_competition_intensity_unresolved;container_root_behavior_unresolved,IDENTITY_BRAZIL_BLOCK1,301
